symbol,orderId,side,status,origQty,price,executedQty,time
ETHUSDT,922414,SELL,FILLED,0.20000000,0.00000000,0.20000000,1762907575916
ETHUSDT,922996,SELL,FILLED,0.20000000,0.00000000,0.20000000,1762907843439
ETHUSDT,923089,SELL,FILLED,0.20000000,0.00000000,0.20000000,1762907898960
ETHUSDT,923227,SELL,FILLED,0.20000000,0.00000000,0.20000000,1762907969546
ETHUSDT,923521,SELL,FILLED,0.20000000,0.00000000,0.20000000,1762908151816
ETHUSDT,966313,BUY,FILLED,0.01000000,0.00000000,0.01000000,1762935342409
ETHUSDT,966879,BUY,FILLED,0.01000000,0.00000000,0.01000000,1762935723464
ETHUSDT,967161,BUY,FILLED,0.01000000,0.00000000,0.01000000,1762935891723
ETHUSDT,967318,BUY,FILLED,0.01000000,0.00000000,0.01000000,1762936003678
ETHUSDT,967739,BUY,FILLED,0.01000000,0.00000000,0.01000000,1762936233781
LINKUSDT,82421,SELL,FILLED,2.59000000,0.00000000,2.59000000,1762901932396
LINKUSDT,82424,SELL,FILLED,1.92000000,0.00000000,1.92000000,1762901962880
LINKUSDT,82430,SELL,FILLED,1.42000000,0.00000000,1.42000000,1762901993352
LINKUSDT,82433,SELL,FILLED,1.05000000,0.00000000,1.05000000,1762902023847
LINKUSDT,82439,SELL,FILLED,0.78000000,0.00000000,0.78000000,1762902054306
LINKUSDT,82445,SELL,FILLED,0.57000000,0.00000000,0.57000000,1762902084769
LINKUSDT,82451,SELL,FILLED,0.42000000,0.00000000,0.42000000,1762902115243
LINKUSDT,82739,SELL,FILLED,2.59000000,0.00000000,2.59000000,1762904250940
LINKUSDT,82746,SELL,FILLED,1.92000000,0.00000000,1.92000000,1762904282808
LINKUSDT,82751,SELL,FILLED,1.42000000,0.00000000,1.42000000,1762904314267
LINKUSDT,82759,SELL,FILLED,1.05000000,0.00000000,1.05000000,1762904345670
LINKUSDT,82765,SELL,FILLED,0.78000000,0.00000000,0.78000000,1762904377113
LINKUSDT,82767,SELL,FILLED,0.57000000,0.00000000,0.57000000,1762904408499
LINKUSDT,82773,SELL,FILLED,0.42000000,0.00000000,0.42000000,1762904439892
LINKUSDT,82800,SELL,FILLED,2.59000000,0.00000000,2.59000000,1762904618541
LINKUSDT,82803,SELL,FILLED,1.92000000,0.00000000,1.92000000,1762904649500
LINKUSDT,82807,SELL,FILLED,1.42000000,0.00000000,1.42000000,1762904680415
LINKUSDT,82815,SELL,FILLED,1.05000000,0.00000000,1.05000000,1762904711350
LINKUSDT,82824,SELL,FILLED,0.78000000,0.00000000,0.78000000,1762904742263
LINKUSDT,82828,SELL,FILLED,0.57000000,0.00000000,0.57000000,1762904773189
LINKUSDT,82833,SELL,FILLED,0.42000000,0.00000000,0.42000000,1762904804111
LINKUSDT,83306,BUY,FILLED,0.50000000,0.00000000,0.50000000,1762907543558
LINKUSDT,83358,BUY,FILLED,0.50000000,0.00000000,0.50000000,1762907812675
LINKUSDT,83366,BUY,FILLED,0.50000000,0.00000000,0.50000000,1762907867041
LINKUSDT,83381,BUY,FILLED,0.50000000,0.00000000,0.50000000,1762907937289
LINKUSDT,83411,BUY,FILLED,0.50000000,0.00000000,0.50000000,1762908118360
LINKUSDT,83442,BUY,FILLED,0.50000000,0.00000000,0.50000000,1762908314944
LINKUSDT,83487,BUY,FILLED,0.50000000,0.00000000,0.50000000,1762908564901
LINKUSDT,83505,BUY,FILLED,0.50000000,0.00000000,0.50000000,1762908679784
LINKUSDT,83623,SELL,FILLED,3.00000000,0.00000000,3.00000000,1762909471638
LINKUSDT,83679,SELL,FILLED,3.00000000,0.00000000,3.00000000,1762909738686
LINKUSDT,83700,SELL,FILLED,1.00000000,0.00000000,1.00000000,1762909942246
LINKUSDT,83742,SELL,FILLED,1.00000000,0.00000000,1.00000000,1762910185835
LINKUSDT,83847,BUY,FILLED,5.00000000,0.00000000,5.00000000,1762910979863
LINKUSDT,83880,BUY,FILLED,5.00000000,0.00000000,5.00000000,1762911140263
LINKUSDT,83884,BUY,FILLED,5.00000000,0.00000000,5.00000000,1762911166687
LINKUSDT,83896,SELL,FILLED,5.00000000,0.00000000,5.00000000,1762911238283
LINKUSDT,86441,BUY,FILLED,1.50000000,0.00000000,1.50000000,1762935313323
LINKUSDT,86444,SELL,FILLED,0.50000000,0.00000000,0.50000000,1762935330596
LINKUSDT,86485,BUY,FILLED,1.50000000,0.00000000,1.50000000,1762935694744
LINKUSDT,86488,SELL,FILLED,0.50000000,0.00000000,0.50000000,1762935711665
LINKUSDT,86506,BUY,FILLED,1.50000000,0.00000000,1.50000000,1762935861098
LINKUSDT,86509,SELL,FILLED,0.50000000,0.00000000,0.50000000,1762935878983
LINKUSDT,86518,BUY,FILLED,1.50000000,0.00000000,1.50000000,1762935971513
LINKUSDT,86524,SELL,FILLED,0.50000000,0.00000000,0.50000000,1762935989912
LINKUSDT,86556,BUY,FILLED,1.50000000,0.00000000,1.50000000,1762936202700
LINKUSDT,86562,SELL,FILLED,0.50000000,0.00000000,0.50000000,1762936220728
LINKUSDT,86670,BUY,FILLED,1.50000000,0.00000000,1.50000000,1762936846974
LINKUSDT,86674,SELL,FILLED,0.50000000,0.00000000,0.50000000,1762936864416
LINKUSDT,91552,BUY,FILLED,1.50000000,0.00000000,1.50000000,1762965809617
LINKUSDT,91556,SELL,FILLED,0.50000000,0.00000000,0.50000000,1762965824706
